city,lat,lon,temp,icon
Exeter,50.7184,-3.5339,11.0,None
Truro,50.2632,-5.051,11.0,30
Carmarthen,51.8576,-4.3121,10.0,28
Norwich,52.6309,1.2974,11.0,30
Brighton And Hove,50.8225,-0.1372,11.0,None
Bristol,51.44999778,-2.583315472,12.0,None
Durham,54.7753,-1.5849,9.0,None
Llanidloes,52.4135,-3.5883,10.0,None
Penrith,54.6641,-2.7527,9.0,None
Jedburgh,55.4777,-2.5549,8.0,None
Coventry,52.42040367,-1.499996583,11.0,30
Edinburgh,55.94832786,-3.219090618,10.0,28
Cambridge,52.2053,0.1218,11.0,30
Glasgow,55.87440472,-4.250707236,11.0,28
Kingston upon Hull,53.7457,-0.3367,11.0,28
Leeds,53.83000755,-1.580017539,9.0,30
London,51.49999473,-0.116721844,12.0,34
Manchester,53.50041526,-2.247987103,10.0,28
Nottingham,52.97034426,-1.170016725,9.0,None
Aberdeen,57.1497,-2.0943,12.0,28
Fort Augustus,57.1448,-4.6805,9.0,None
Lairg,58.197,-4.6173,8.0,12
Oxford,51.7517,-1.2553,11.0,34
Inverey,56.9855,-3.5055,4.0,None
Shrewsbury,52.7069,-2.7527,10.0,28
Colwyn Bay,53.2932,-3.7276,11.0,None
Newton Stewart,54.9186,-4.5918,9.0,None
Portsmouth,50.80034751,-1.080022218,12.0,None
